//X,Y,Z,Nx,Ny,Nz
-94.27799225,136.05130005,-73.14138031,0.596123,0.181429,-0.782126
-94.49272919,130.59301758,-74.71717834,0.946452,0.055371,-0.318060
-94.32388306,143.59301758,-71.09786987,0.760496,0.219284,-0.611196
-94.07897949,139.20213318,-55.06178665,-0.653539,-0.633584,0.414075
-94.05278778,136.62899780,-72.80068970,0.689722,0.199942,-0.695922
-94.23764801,137.61192322,-72.93553162,0.803137,-0.067047,-0.592010
-93.84822083,133.33151245,-69.11722565,0.557200,-0.719234,0.415006
-93.98980713,147.85548401,-55.80463409,-0.815840,0.487610,0.310871
-93.90479279,138.34489441,-72.40388489,0.859118,-0.138098,-0.492793
-93.88642120,131.20468140,-71.60377502,0.848939,-0.518557,0.101988
-93.66578674,136.43690491,-72.46553802,0.707106,0.254685,-0.659649
-93.86733246,145.19683838,-67.96897888,0.668671,0.678338,-0.304527
-93.81723785,140.27177429,-53.11288834,-0.769868,-0.462575,0.439691
-93.86918640,134.09695435,-66.98260498,0.646720,-0.728147,0.227057
-93.48302460,134.63919067,-72.47382355,0.816584,-0.125062,-0.563516
-93.65476227,148.03656006,-63.72786713,0.513653,0.713129,-0.477082
-93.61715698,146.81291199,-65.28235626,0.640165,0.656706,-0.398655
-93.52843475,145.11778259,-50.87079620,-0.918881,0.182644,0.349713
-93.37171173,138.99667358,-53.93712616,-0.736987,-0.598298,0.314469
-93.38343048,138.66328430,-54.72958755,-0.669254,-0.672495,0.315991
-93.58140564,131.79217529,-71.67658997,0.967088,-0.253603,-0.020628
-93.44679260,142.22682190,-69.97126007,0.682033,-0.067771,-0.728175
-93.34106445,145.07495117,-50.44182968,-0.878577,0.202294,0.432644
-93.35788727,144.96940613,-50.42712021,-0.891532,0.156990,0.424882
-93.43285370,143.40251160,-50.56597900,-0.924618,-0.032603,0.379498
-93.32394409,142.66159058,-69.90049744,0.747332,-0.001381,-0.664449
-93.04633331,134.34309387,-68.21879578,0.582849,-0.749836,0.313101
-93.25170135,148.30725098,-62.72570038,0.488385,0.813974,-0.314526
-93.26265717,134.30802917,-71.98162842,0.882707,-0.195341,-0.427400
-93.01935577,149.15815735,-56.54103088,-0.591198,0.795673,0.131871
-93.13658905,144.03353882,-49.62533951,-0.886141,0.073269,0.457586
-92.97862244,142.71766663,-49.70488358,-0.826038,-0.278457,0.490023
